Country Name;Country Code;2015;2016;2017;2018;2019
IDA total;IDA;3568,13;3627,87;3713,69;3807,06;3866,86
IDA blend;IDB;4738,65;4740,48;4786,72;4868,93;4864,83
Indonesia;IDN;10149,6;10531,2;10935,84;11371,53;11812,2
IDA only;IDX;2968,46;3063,04;3173,91;3276,04;3375,08
India;IND;5454,35;5840,67;6185,99;6496,81;6700,06
Ireland;IRL;71173,52;72962,85;78051,52;83388,72;86696,24
Iran, Islamic Rep.;IRN;12698,11;14205,21;14535,86;13471,85;12389,22
Iraq;IRQ;10310,68;11542,26;10971,97;10660,09;10881,17
Iceland;ISL;51471,02;54125,48;55274,19;55866,19;55584,1
Israel;ISR;37687,75;38427,74;39022,89;39600,28;40203,4
Italy;ITA;40376,35;40968,14;41713,9;42187,82;42419,72
Jamaica;JAM;9470,8;9550,81;9598,37;9737,98;9761,5
Jordan;JOR;10145,83;10039,51;10010,39;10022,76;10071,38
Japan;JPN;39900,75;40155,28;41093,5;41309,96;41667,18
Kazakhstan;KAZ;24290,42;24210,86;24862,97;25544,28;26351,44
Kenya;KEN;3824,76;3952,75;4046,21;4203,8;4329,87
Kyrgyz Republic;KGZ;4805,14;4912,38;5046,69;5133,15;5253,1
Cambodia;KHM;3543,7;3733,96;3928,37;4159,34;4388,8
Kiribati;KIR;2170,63;2249,77;2237,34;2255,72;2271,91
St. Kitts and Nevis;KNA;25569,36;26075,61;25360,09;25901,5;26438,18
Korea, Rep.;KOR;38974;39963,61;41110,64;42105,28;42878,82
Kuwait;KWT;54834,25;54708,7;50855,5;50478,59;49853,58
Latin America & Caribbean (excluding high income);LAC;15729,42;15566,84;15732,15;15824,6;15795,42
Lao PDR;LAO;6543,67;6896,13;7257,81;7592,82;7826,39
Lebanon;LBN;16299,22;16108,5;16005,26;15612,01;14551,59
Liberia;LBR;1580,48;1516,36;1515,64;1497;1427,82
Libya;LBY;11022,43;10592,42;13238;15017,99;15174,16
St. Lucia;LCA;14029,98;14516,56;14945,73;15261,45;15448,77
Latin America & Caribbean;LCN;16278,12;16130,67;16290,9;16399,06;16375,6
Least developed countries: UN classification;LDC;2747,55;2813,52;2893,7;2968,81;3045,91
Low income;LIC;2304,05;2358,53;2403,71;2435,46;2475,66
Sri Lanka;LKA;11890,52;12287,47;12584,1;12864,61;13078,1
Lower middle income;LMC;5643,43;5889,74;6134,15;6372,43;6540,41
Low & middle income;LMY;9414,7;9731,45;10099,95;10436,91;10697,99
Lesotho;LSO;2727,12;2842,7;2783,12;2748,54;2704,42
Late-demographic dividend;LTE;14841,2;15359;16030,66;16757,36;17409,71
Lithuania;LTU;30846,44;32027,81;33869,74;35540,65;37278,3
Luxembourg;LUX;110798,74;113396,75;112666,77;113952,36;114323,41
Latvia;LVA;26706,26;27590,98;28741,48;30131,98;30982,17
Macao SAR, China;MAC;120294,9;117335,59;126918,23;131908,15;123965,29
